,precision,recall,f1-score,support
benign,0.9871794871794872,0.8555555555555555,0.9166666666666666,90.0
malignant,0.8695652173913043,0.9523809523809523,0.9090909090909091,42.0
normal,0.7647058823529411,1.0,0.8666666666666667,26.0
accuracy,0.9050632911392406,0.9050632911392406,0.9050632911392406,0.9050632911392406
macro avg,0.8738168623079109,0.9359788359788359,0.8974747474747474,158.0
weighted avg,0.9193053539099058,0.9050632911392406,0.9064250095895666,158.0
